.metric,.estimator,mean,n,std_err,model
roc_auc,binary,0.5,50,0,null
roc_auc,binary,0.7323936599752249,50,0.004094139542094436,logistic
roc_auc,binary,0.958401395605383,50,0.0014717477567888744,rf
roc_auc,binary,0.814328488603125,50,0.0032959668857985153,knn
roc_auc,binary,0.9141797586467842,50,0.00251071144859971,bt
roc_auc,binary,0.7330041218972393,50,0.004087157234909349,en
