.metric,.estimator,mean,n,std_err,.config,model
accuracy,binary,0.6686013946200358,50,0.0034982389624655867,Preprocessor1_Model1,logistic
roc_auc,binary,0.7323936599752249,50,0.004094139542094436,Preprocessor1_Model1,logistic
